,Sludinājumi 	datums,Sludinājumi 	datums.1,Sludinājumi 	datums.2,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena
0,,,Kluss. Panorāmas skats no logiem. Laba plānojuma 5 istabu dzīv,Teātra 12,5,136,6/7,P. kara,"2,000 €","272,000 €"
1,,,Vairāki pakāpieni uz leju. Daļa maksas var būt maiņa uz nedārg,Duntes 26,3,67,1/6,Specpr.,143 €,"9,580 €"
2,,,Pārdodam dzīvokļus ēkā ar vēstures garšu. Renovēta māja zaļajā R,Tomsona 33,3,64,4/5,Renov.,"2,180 €","139,500 €"
3,,,Pasteidzies. 80% dzīvokļu jau izpārdoti. Pārdodam dzīvokļus,Brīvības 95,4,86,5/7,Renov.,"2,198 €","189,000 €"
4,,,Piedāvājumā 3 istabu dzīvoklis 4.stāvā ar skatu uz pagalmu. Dz,Brīvības 95,3,86,4/7,Renov.,"2,198 €","189,000 €"
5,,,Projekta Parker's attīstītājs pārdod dzīvokli ar četrām guļamist,Valdemāra 41A,4,320,7/7,Jaun.,"2,022 €","647,000 €"
6,,,Samazināta cena līdz 1.maijam Jauns projekts pie Ziedoņdārza.,Matīsa 63,2,43,3/7,Renov.,"2,207 €","94,905 €"
7,,,Īpašnieks piedāvā iegādāties skaistu un gaišu 4-istabu dzīvokli,Marijas 23,4,116,2/6,P. kara,"1,681 €","195,000 €"
8,,,Jauns projekts pie Ziedoņdārza. Tiek pārdots 2- istabu dzīvo,Matīsa 63,2,37,2/7,Renov.,"2,241 €","82,935 €"
9,,,Jauns projekts pie Ziedoņdārza. Tiek pārdots 2- istabu dzīvo,Matīsa 63,2,42,2/7,Renov.,"2,239 €","94,050 €"
10,,,Pārdodam saulainu un mājīgu dzīvokli ar krāsns apkuri. Ir šķūn,M. Piena 10,1,29,2/4,P. kara,879 €,"25,500 €"
11,,,Attīstītājs piedāvā 2-istabu dzīvokli pilnībā renovētā mājā Rīga,Čaka 26,2,40,2/6,P. kara,"2,648 €","105,920 €"
12,,,Ļoti mājīgs 2istabu dzīvoklis Miera ielā. Īpašums atrodas pirm,Miera 76,2,54,4/5,P. kara,"1,472 €","79,500 €"
13,,,Pārdod tikko izremontētu 2 istabu dzīvokli ēkas pagrabstāvā:,Katrīnas 21,2,53,1/3,P. kara,"1,321 €","70,000 €"
14,,,Pārdod tikko izremontētu 3 istabu dzīvokli renovētā ēkā - Krasta,Krasta 11,3,71,3/6,Renov.,"2,106 €","149,500 €"
15,,,"Plašs un gaišs divistabu dzīvoklis projektā ""Skanstes mājās"". Dz",Grostonas 17,2,69,2/8,Jaun.,"2,536 €","175,000 €"
16,,,Ļoti plašs dzīvoklis piektajā stāvā ar logiem uz Lāčplēša ielu.,Lāčplēša 35,6,169,5/6,Renov.,"1,355 €","229,002 €"
17,,,Plašs divu līmeņu 3 istabu dzīvoklis vienā no iespaidīgākajām jū,Elizabetes 10B,3,154,4/5,Renov.,"2,338 €","360,000 €"
18,,,Dzīvoklis ar lielisku apdari un mēbelēm ar skatu uz Daugavu.,Republikas laukums..,3,104,4/7,Jaun.,"3,173 €","330,000 €"
19,,,Attīstītājs piedāvā Jaunu projektu tirgū Katrīnas dambja un Pien,Piena 4,2,45,3/4,Renov.,"2,295 €","103,270 €"
20,,,Pārdošanā dzīvoklis unikālā projektā Lofts&rosegold Rīgas Klusaj,Strēlnieku 8,3,102,2/7,Jaun.,"3,755 €","383,000 €"
21,,,Аренда с правом выкупа. Квартира студио типа 28.6 м2 в каменном,Piena 4,1,29,1/4,Renov.,"1,923 €","55,770 €"
22,,,"Iegādei pieejams ērts, ekonomisks, kompakts un gaumīgs dzīvoklis",Hospitāļu 45a,1,29,2/5,Staļina,"1,828 €","53,000 €"
23,,,Vēsturiskā un renovētā Jugendstila ēkā tiek piedāvāts plašs dzīv,Valdemāra 39,5,160,4/7,P. kara,"1,656 €","265,000 €"
24,,,Īpašnieks pārdod lielisku boutique 3-istabu dzīvokli (85m2) Rīga,Baznīcas 27/29,3,85,5/5,P. kara,"3,000 €","255,000 €"
25,,,Plašs piecu istabu dzīvoklis pirmajā stāvā ar logiem uz pagalmu.,Lāčplēša 35,5,132,1/6,Renov.,"1,273 €","168,071 €"
26,,,"Pārdošanā 4-istabu dzīvoklis, ko iespējams sadalīt divos dzīvokļ",Brīvības 150,4,104,3/6,P. kara,"1,240 €","129,000 €"
27,,,"Silts, saulains dzīvoklis centrā, svaigi remontēts ar pilnībā ap",Ģertrūdes 100,2,42,2/5,P. kara,"2,119 €","89,000 €"
28,,,Jauns Jūgendstila 3 guļamistabu pilnas apdares dzīvoklis ar 3 va,Ausekļa 14,4,154,5/6,Renov.,"3,506 €","540,000 €"
29,,,"Pārdod remontētu dzīvokli Rīgas klusajā centrā, Ausekļa ielā 5.",Ausekļa 5,5,162,2/6,P. kara,"3,395 €","550,000 €"
0,,,"Klusā, skaistā, zaļā vietā tiek pārdots trīsistabu dzīvoklis.",Katrīnas d. 24a,3,84,1/3,Staļina,"1,048 €","88,000 €"
1,,,"Īpašnieks pārdod svaigi izremontētu dzīvokli. Pagalma māja, aiz",Valdemāra 23,3,96,2/6,P. kara,"2,500 €","240,000 €"
2,,,Dzīvoklis tikko pēc remonta. Dzīvojamā istaba apvienota ar vir,Valdemāra 73,3,60,6/6,P. kara,"2,417 €","145,000 €"
3,,,2 konkrētas automašīnas vietas slēgtā pagalmā. Dzīvoklis renov,Brīvības 142,5,108,2/6,Renov.,"1,759 €","190,000 €"
4,,,Только после капитального ремонта-новая сантехника и электропров,Duntes 29,1,21,2/3,P. kara,819 €,"17,200 €"
5,,,Attīstītājs piedāvā plašu trīs istabu dzīvokli pilnībā rekonstru,Birznieka-Upīša 10,3,73,2/5,Renov.,"2,403 €","175,440 €"
6,,,"Pārdod trīs istabu dzīvokli klusajā centrā Rīgā, Elizabetes ielā",Elizabetes 9,3,70,5/5,Renov.,"2,086 €","146,000 €"
7,,,Продается 3-х комнатная квартира в реконструированном доме ул. Т,Tērbatas 97,3,71,1/4,Renov.,"1,901 €","135,000 €"
8,,,Уютная и просторная квартира в центре города. Дом расположен во,Tallinas 38,2,56,3/5,P. kara,"1,518 €","85,000 €"
9,,,Īpašnieks bez starpniekiem pārdod saulainu 3.ist. dzīvokli ar vi,Indrānu 4,3,63,4/4,P. kara,"1,349 €","85,000 €"
10,,,"Īpašnieks pārdod 3-istabu dzīvokli renovētā ēkā, Miera ielā 105.",Miera 105,3,82,3/6,Renov.,"2,073 €","170,000 €"
11,,,Īpašnieks pārdod saulainu dzīvokli ar lieliem logiem un parketa,Laboratorijas 4,2,54,2/5,Renov.,"1,638 €","88,450 €"
12,,,Attīstītājs pārdod fasādes mājas dzīvokli ar skatu uz kluso Labo,Laboratorijas 4,3,58,2/5,Renov.,"1,465 €","84,950 €"
13,,,"Īpašnieks pardod mājīgu, gaišu un klusu 3 istabu dzīvokli (133m2",Čaka 59,3,133,5/5,P. kara,"1,556 €","207,000 €"
