Mēnesis;Ārzemnieku grupa;Latvijas grupa;Ģimene;Pāris;Viens;Draugi;Skolēnu grupa;Gads
Janvāris;492;110;576;385;9;322;189;2014
Februāris;69;94;90;94;15;145;196;2014
Marts;238;348;257;154;22;348;18;2014
Aprīlis;332;254;517;258;41;295;185;2014
Maijs;1257;2295;972;673;81;594;355;2014
Jūnijs;2041;573;1411;994;111;887;207;2014
Jūlijs;1783;572;3117;1599;115;1130;16;2014
Augusts;2006;614;3938;1853;151;1372;64;2014
Septembris;1142;599;1350;1036;86;655;1331;2014
Oktobris;531;787;1007;454;43;338;1459;2014
Novembris;293;165;531;292;34;214;430;2014
Decembris;78;99;200;82;10;133;187;2014
Janvāris;224;33;436;262;40;170;53;2015
Februāris;269;89;190;172;30;248;218;2015
Marts;118;43;490;228;26;190;187;2015
Aprīlis;497;250;475;252;52;293;336;2015
Maijs;1316;769;1080;778;97;515;2398;2015
Jūnijs;1870;765;1515;1232;132;696;225;2015
Jūlijs;1780;477;4111;2057;216;1738;126;2015
Augusts;1896;197;2840;2107;174;1208;36;2015
Septembris;1521;417;1267;1073;111;739;2045;2015
Oktobris;849;623;1468;832;66;639;1490;2015
Novembris;367;167;519;284;22;300;489;2015
Decembris;116;112;361;210;19;116;87;2015
Janvāris;172;100;347;290;30;237;52;2016
Februāris;49;134;298;286;23;168;360;2016
Marts;332;128;711;366;51;347;273;2016
Aprīlis;609;225;635;446;49;393;711;2016
Maijs;1442;330;1405;1158;145;594;2814;2016
Jūnijs;2300;322;1793;1515;149;721;513;2016
Jūlijs;2047;652;4679;3041;362;1701;216;2016
Augusts;1879;502;4485;2970;276;1126;173;2016
Septembris;1525;733;1349;1284;163;547;1263;2016
Oktobris;535;518;1243;847;66;429;761;2016
Novembris;255;95;287;256;22;246;593;2016
Decembris;127;189;202;194;32;192;83;2016
Janvāris;176;35;413;356;45;316;73;2017
Februāris;66;50;313;312;36;288;216;2017
Marts;37;0;441;276;40;233;100;2017
Aprīlis;412;206;675;464;54;460;586;2017
Maijs;1384;491;1627;1447;146;1403;2163;2017
Jūnijs;1939;599;1690;1824;217;1213;226;2017
Jūlijs;2030;456;5086;3044;324;2716;179;2017
Augusts;2108;709;4569;2960;315;2896;252;2017
Septembris;1645;583;1310;1376;170;1263;1154;2017
Oktobris;663;512;1339;1090;152;1137;838;2017
Novembris;135;118;473;322;41;316;649;2017
Decembris;65;83;401;220;53;397;115;2017
Janvāris;269;202;775;604;47;241;160;2018
Februāris;124;35;187;204;30;197;349;2018
Marts;275;70;465;319;50;476;111;2018
Aprīlis;325;44;619;456;72;637;290;2018
Maijs;1225;240;1359;1064;168;1114;2231;2018
Jūnijs;1985;344;1589;1298;193;1341;1072;2018
Jūlijs;2119;548;4189;2728;321;2366;168;2018
Augusts;2151;507;3797;3001;407;3377;20;2018
Septembris;1779;892;1003;1054;196;1350;1128;2018
Oktobris;837;496;1122;792;108;1414;1200;2018
Novembris;259;64;580;394;53;608;771;2018
Decembris;248;240;338;208;29;223;339;2018
Janvāris;338;85;509;280;39;329;157;2019
Februāris;301;125;283;182;28;327;445;2019
Marts;293;112;448;348;40;354;168;2019
Aprīlis;527;120;621;333;64;540;635;2019
Maijs;1659;210;905;915;151;890;2305;2019
Jūnijs;2091;207;1528;1385;240;1624;523;2019
Jūlijs;1753;420;3997;2648;365;2605;209;2019
Augusts;2114;547;4971;3026;357;2394;156;2019
Septembris;1369;482;1111;1213;181;886;1251;2019
Oktobris;601;721;1587;886;121;1122;1351;2019
Novembris;300;206;738;394;64;408;504;2019
Decembris;198;126;357;234;27;388;202;2019
